,Epoch,Loss
0,1.0,1.3919668197631836
1,2.0,0.8416327834129333
2,3.0,0.5722635388374329
3,4.0,0.39283308386802673
4,5.0,0.2823962867259979
5,6.0,0.21385042369365692
6,7.0,0.17110516130924225
7,8.0,0.14357566833496094
8,9.0,0.12674884498119354
9,10.0,0.11779505759477615
10,11.0,0.11226286739110947
11,12.0,0.1075989156961441
12,13.0,0.10439905524253845
13,14.0,0.1011892706155777
14,15.0,0.09860696643590927
15,16.0,0.09758272022008896
16,17.0,0.09560803323984146
17,18.0,0.09417232125997543
18,19.0,0.09259003400802612
19,20.0,0.09119237959384918
